Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR14687229,2021-10-21 12:26:36,2021-05-29 15:53:57,7153638,364835538,0,51,143,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR014/14687/SRR14687229/SRR14687229.lite.1,SRX11025403,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP321884,PRJNA733673,3,733673,SRS9097336,SAMN19432080,simple,559292,Saccharomyces cerevisiae S288C,GSM5348155,,,,,,,no,,,,,GEO,SRA1238562,,public,32B9750275D9B43F4EB7A12910E30A38,08A2BB557A2E00131B50B7B68FA26DEB
SRR14687230,2021-10-21 12:26:36,2021-05-29 15:54:44,7248671,369682221,0,51,145,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos13/sra-pub-zq-1301/SRR014/14687/SRR14687230/SRR14687230.lite.1,SRX11025403,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP321884,PRJNA733673,3,733673,SRS9097336,SAMN19432080,simple,559292,Saccharomyces cerevisiae S288C,GSM5348155,,,,,,,no,,,,,GEO,SRA1238562,,public,AEFCB9E69E51AD0F512A38E70A3A3D60,9BD7E97F0E80CFD054733B55BF839F22
SRR14687231,2021-10-21 12:26:36,2021-05-29 15:54:36,6786879,346130829,0,51,135,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR014/14687/SRR14687231/SRR14687231.lite.1,SRX11025404,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP321884,PRJNA733673,3,733673,SRS9097337,SAMN19432079,simple,559292,Saccharomyces cerevisiae S288C,GSM5348156,,,,,,,no,,,,,GEO,SRA1238562,,public,ECD30F6910EE09D8FE5B3DE74A647AC5,1B307B6010BFCD27FD401E037CE03CA6
SRR14687232,2021-10-21 12:26:36,2021-05-29 15:54:56,6889131,351345681,0,51,138,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos13/sra-pub-zq-1301/SRR014/14687/SRR14687232/SRR14687232.lite.1,SRX11025404,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP321884,PRJNA733673,3,733673,SRS9097337,SAMN19432079,simple,559292,Saccharomyces cerevisiae S288C,GSM5348156,,,,,,,no,,,,,GEO,SRA1238562,,public,0344CA481B2E79127B4709BE6D357A42,19C4AF66F34ACAE17711CBC498BEE959
SRR14687233,2021-10-21 12:26:36,2021-05-29 15:55:09,7400930,377447430,0,51,148,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR014/14687/SRR14687233/SRR14687233.lite.1,SRX11025405,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP321884,PRJNA733673,3,733673,SRS9097338,SAMN19432078,simple,559292,Saccharomyces cerevisiae S288C,GSM5348157,,,,,,,no,,,,,GEO,SRA1238562,,public,77F0393A69B586796A288FBFDD372ADB,33BC18823FA02863B68242B025AC21E2
SRR14687234,2021-10-21 12:26:36,2021-05-29 15:55:36,7517458,383390358,0,51,151,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos13/sra-pub-zq-1301/SRR014/14687/SRR14687234/SRR14687234.lite.1,SRX11025405,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP321884,PRJNA733673,3,733673,SRS9097338,SAMN19432078,simple,559292,Saccharomyces cerevisiae S288C,GSM5348157,,,,,,,no,,,,,GEO,SRA1238562,,public,BFE0953C83D24E726A36AD565262FE0E,1CC7A627F6D36835B2C908FC2FB013DD
SRR16481343,2021-10-24 12:48:07,2021-10-20 05:53:42,8601649,2597697998,8601649,302,830,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos13/sra-pub-zq-1301/SRR016/16481/SRR16481343/SRR16481343.lite.1,SRX12684473,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP342112,PRJNA772701,3,772701,SRS10635354,SAMN22405060,simple,4932,Saccharomyces cerevisiae,GSM5638924,,,,,,,no,,,,,GEO,SRA1313420,,public,EE01668893E4D7450828FE548D27DE0B,1C25D4989A1C7B228A19FBB5623CC763
SRR16481344,2021-10-24 12:48:07,2021-10-20 05:44:01,5868367,1772246834,5868367,302,563,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR016/16481/SRR16481344/SRR16481344.lite.1,SRX12684474,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP342112,PRJNA772701,3,772701,SRS10635355,SAMN22405061,simple,4932,Saccharomyces cerevisiae,GSM5638925,,,,,,,no,,,,,GEO,SRA1313420,,public,B01F672819BCB9A464C5329F42CDACA9,7E07ECB893DF50EBBC55987BD6585F8C
SRR16481345,2021-10-24 12:48:07,2021-10-20 05:48:55,7185790,2170108580,7185790,302,695,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR016/16481/SRR16481345/SRR16481345.lite.1,SRX12684475,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP342112,PRJNA772701,3,772701,SRS10635356,SAMN22405062,simple,4932,Saccharomyces cerevisiae,GSM5638926,,,,,,,no,,,,,GEO,SRA1313420,,public,AA115DEB5F72022543C9F8CC7D5F0B28,62B29F6962CEF375D85AE339C238645F
SRR16481346,2021-10-24 12:48:07,2021-10-20 05:47:59,6933175,2093818850,6933175,302,667,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16481/SRR16481346/SRR16481346.lite.1,SRX12684476,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP342112,PRJNA772701,3,772701,SRS10635357,SAMN22405063,simple,4932,Saccharomyces cerevisiae,GSM5638927,,,,,,,no,,,,,GEO,SRA1313420,,public,BBB9FE59756DBCCBEAC5FAC0D082C003,4824DD8ABE283791749B4DB1A2DA9016
